Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	Pc 2Sm 2Md GsH	30-JUL-14 12:54:38	User Waypoint	N31.50825 W109.00882	1687 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 2Sm Gtsnkhy	30-JUL-14 11:09:13	User Waypoint	N31.50543 W109.01023	1694 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 2Sm Hyla	30-JUL-14 12:00:25	User Waypoint	N31.50774 W109.01013	1683 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 3Sm Hyla	30-JUL-14 12:15:56	User Waypoint	N31.50819 W109.00915	1684 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 3SM1M8M2TOT	30-JUL-14 10:05:48	User Waypoint	N31.50631 W109.01389	1692 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 4Sm	26-JUL-14 14:57:28	User Waypoint	N31.52631 W108.97198	1653 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc 5Sm Nohb	01-AUG-14 10:43:07	User Waypoint	N31.48475 W109.02474	1791 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc Lg 3Sm Nohb	31-JUL-14 15:40:57	User Waypoint	N31.52403 W108.96656	1637 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc Md 4Sm Nohb	31-JUL-14 15:38:01	User Waypoint	N31.52419 W108.96684	1638 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc1 2Sm Hyla	30-JUL-14 12:02:00	User Waypoint	N31.50788 W109.00991	1684 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc2L50M2HYLAX2	26-JUL-14 16:26:12	User Waypoint	N31.52455 W108.96782	1630 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc2MD HYLA	29-JUL-14 11:44:37	User Waypoint	N31.49927 W109.01914	1716 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pc2S1L28M2	25-JUL-14 15:47:38	User Waypoint	N31.48794 W108.94564	1615 m				Symbol & Name	Black	Flag, Blue							
Waypoint	PC3MD2SMGSHYLA	31-JUL-14 10:00:44	User Waypoint	N31.49736 W109.02127	1738 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pine P 5M2 HYL	30-JUL-14 13:53:17	User Waypoint	N31.50989 W109.00640	1686 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pine Ta 200M2	06-AUG-14 15:13:30	User Waypoint	N31.58779 W109.02800	1497 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Pot	31-JUL-14 14:20:52	User Waypoint	N31.51466 W108.99805	1683 m				Symbol & Name	Black	Flag, Blue							
Waypoint	S1	25-JUL-14 15:37:52	User Waypoint	N31.48589 W108.94724	1607 m				Symbol & Name	Black	Flag, Blue							
Waypoint	S2	25-JUL-14 16:26:40	User Waypoint	N31.49173 W108.94454	1625 m				Symbol & Name	Black	Flag, Blue							
Waypoint	S3	25-JUL-14 16:37:21	User Waypoint	N31.49186 W108.94502	1626 m				Symbol & Name	Black	Flag, Blue							
Waypoint	S4	25-JUL-14 16:52:08	User Waypoint	N31.49194 W108.94529	1630 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Silted dam Low	06-AUG-14 11:59:43	User Waypoint	N31.57319 W108.98964	1549 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Silted Dam Upp	06-AUG-14 11:57:52	User Waypoint	N31.57276 W108.98991	1550 m				Symbol & Name	Black	Flag, Blue							
